	Syncephalastrum_racemosum_CBS_440.59_Plus.aa	Syncephalastrum_racemosum_CBS_441.59-.aa
Syncephalastrum_racemosum_CBS_440.59_Plus.aa	8084	8084
Syncephalastrum_racemosum_CBS_441.59-.aa	8084	8085
