	Thamnostylum_nigricans_RSA_1405-.aa	Thamnostylum_nigricans_RSA_1406.aa
Thamnostylum_nigricans_RSA_1405-.aa	9083	9078
Thamnostylum_nigricans_RSA_1406.aa	9078	9084
