	Fennellomyces_verticellatus_RSA_2442_Plus.aa	Fennellomyces_verticellatus_RSA_2446.aa
Fennellomyces_verticellatus_RSA_2442_Plus.aa	9747	9741
Fennellomyces_verticellatus_RSA_2446.aa	9741	9743
