	Chaetocladium_brefeldii_NRRL_1350.aa	Chaetocladium_brefeldii_RSA_1136-.aa
Chaetocladium_brefeldii_NRRL_1350.aa	4690	4685
Chaetocladium_brefeldii_RSA_1136-.aa	4685	4688
