	Phycomyces_blakesleeanus_Burgeff_NRRL_1465.aa	Phycomyces_blakesleeanus_NRRL_1555.aa
Phycomyces_blakesleeanus_Burgeff_NRRL_1465.aa	10113	10113
Phycomyces_blakesleeanus_NRRL_1555.aa	10113	10118
