	Absidia_cuneospora_RSA_623_Plus.aa	Absidia_cuneospora_RSA_624-.aa
Absidia_cuneospora_RSA_623_Plus.aa	7928	7922
Absidia_cuneospora_RSA_624-.aa	7922	7926
