	Fennellomyces_mexicanussp.nov._RSA_1415_Plus.aa	Fennellomyces_mexicanussp.nov._RSA_1418-.aa
Fennellomyces_mexicanussp.nov._RSA_1415_Plus.aa	10012	10010
Fennellomyces_mexicanussp.nov._RSA_1418-.aa	10010	10013
