	Cunninghamella_echinulata_RSA_2017_Plus.aa	Cunninghamella_echinulata_RSA_2018-.aa
Cunninghamella_echinulata_RSA_2017_Plus.aa	7605	7602
Cunninghamella_echinulata_RSA_2018-.aa	7602	7610
