	Pilaira_anomala_RSA_1997_Plus.aa	Pilaira_anomala_RSA_1998-.aa
Pilaira_anomala_RSA_1997_Plus.aa	5554	5546
Pilaira_anomala_RSA_1998-.aa	5546	5560
