	Gilbertella_persicariavar.indica_CBS_442.64-.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0000037	GBNTN_005655-T1, GBNTN_007167-T1, GBNTN_007168-T1, GBNTN_008347-T1	GBNWO_001313-T1, GBNWO_002057-T1, GBNWO_002058-T1, GBNWO_003928-T1, GBNWO_008454-T1
OG0000038	GBNTN_005750-T1, GBNTN_006043-T1, GBNTN_007273-T1, GBNTN_007878-T1	GBNWO_002914-T1, GBNWO_003864-T1, GBNWO_007348-T1, GBNWO_007907-T1, GBNWO_008744-T1
OG0000039	GBNTN_000027-T1, GBNTN_000826-T1, GBNTN_000827-T1, GBNTN_001100-T1, GBNTN_003516-T1	GBNWO_000716-T1, GBNWO_001844-T1, GBNWO_002668-T1
OG0000040	GBNTN_000287-T1, GBNTN_000967-T1, GBNTN_002706-T1, GBNTN_006941-T1	GBNWO_000028-T1, GBNWO_000131-T1, GBNWO_003671-T1, GBNWO_009415-T1
OG0000041	GBNTN_000362-T1, GBNTN_001988-T1, GBNTN_006494-T1, GBNTN_009364-T1	GBNWO_000316-T1, GBNWO_002841-T1, GBNWO_003142-T1, GBNWO_004591-T1
OG0000042	GBNTN_000393-T1, GBNTN_003790-T1, GBNTN_004207-T1, GBNTN_007135-T1, GBNTN_009349-T1	GBNWO_004440-T1, GBNWO_004779-T1, GBNWO_005308-T1
OG0000043	GBNTN_000598-T1, GBNTN_001590-T1, GBNTN_002099-T1, GBNTN_004387-T1	GBNWO_002937-T1, GBNWO_004712-T1, GBNWO_008308-T1, GBNWO_009161-T1
OG0000044	GBNTN_000677-T1, GBNTN_001024-T1, GBNTN_001709-T1, GBNTN_008175-T1, GBNTN_008677-T1, GBNTN_009562-T1	GBNWO_003889-T1, GBNWO_008890-T1
OG0000045	GBNTN_000723-T1, GBNTN_000730-T1, GBNTN_004150-T1, GBNTN_007445-T1	GBNWO_000059-T1, GBNWO_008430-T1, GBNWO_008431-T1, GBNWO_009187-T1
OG0000046	GBNTN_000814-T1, GBNTN_004659-T1, GBNTN_005557-T1, GBNTN_009032-T1	GBNWO_000187-T1, GBNWO_004018-T1, GBNWO_004492-T1, GBNWO_008889-T1
OG0000047	GBNTN_000840-T1, GBNTN_003457-T1, GBNTN_003793-T1, GBNTN_009438-T1	GBNWO_001089-T1, GBNWO_002985-T1, GBNWO_005149-T1, GBNWO_009283-T1
OG0000048	GBNTN_000900-T1, GBNTN_005489-T1, GBNTN_007904-T1, GBNTN_008876-T1	GBNWO_001587-T1, GBNWO_001931-T1, GBNWO_003870-T1, GBNWO_003891-T1
OG0000049	GBNTN_000962-T1, GBNTN_003872-T1, GBNTN_005374-T1, GBNTN_005952-T1	GBNWO_003914-T1, GBNWO_004868-T1, GBNWO_007782-T1, GBNWO_009104-T1
OG0000050	GBNTN_001080-T1, GBNTN_003153-T1, GBNTN_005973-T1, GBNTN_009494-T1	GBNWO_003556-T1, GBNWO_007273-T1, GBNWO_007900-T1, GBNWO_009381-T1
OG0000051	GBNTN_001244-T1, GBNTN_006109-T1, GBNTN_008029-T1, GBNTN_009848-T1	GBNWO_000450-T1, GBNWO_001273-T1, GBNWO_008801-T1, GBNWO_009503-T1
OG0000052	GBNTN_001303-T1, GBNTN_002382-T1, GBNTN_003959-T1, GBNTN_007913-T1	GBNWO_000694-T1, GBNWO_001672-T1, GBNWO_007446-T1, GBNWO_008382-T1
OG0000053	GBNTN_001308-T1, GBNTN_003172-T1, GBNTN_003174-T1, GBNTN_003523-T1	GBNWO_001171-T1, GBNWO_001172-T1, GBNWO_003066-T1, GBNWO_004405-T1
OG0000054	GBNTN_001411-T1, GBNTN_001954-T1, GBNTN_003809-T1, GBNTN_007281-T1	GBNWO_001462-T1, GBNWO_003500-T1, GBNWO_004932-T1, GBNWO_005487-T1
OG0000055	GBNTN_001683-T1, GBNTN_001749-T1, GBNTN_009315-T1	GBNWO_003420-T1, GBNWO_003840-T1, GBNWO_004294-T1, GBNWO_004674-T1, GBNWO_004974-T1
OG0000056	GBNTN_001688-T1, GBNTN_006141-T1, GBNTN_007771-T1, GBNTN_008953-T1	GBNWO_001553-T1, GBNWO_003757-T1, GBNWO_005536-T1, GBNWO_006370-T1
OG0000057	GBNTN_001790-T1, GBNTN_002008-T1, GBNTN_003365-T1, GBNTN_008607-T1	GBNWO_002833-T1, GBNWO_004237-T1, GBNWO_007018-T1, GBNWO_007995-T1
OG0000058	GBNTN_001797-T1, GBNTN_001818-T1, GBNTN_002821-T1, GBNTN_007851-T1	GBNWO_001320-T1, GBNWO_002619-T1, GBNWO_002828-T1, GBNWO_004507-T1
OG0000059	GBNTN_001919-T1, GBNTN_003843-T1, GBNTN_006197-T1, GBNTN_009704-T1	GBNWO_003262-T1, GBNWO_003314-T1, GBNWO_005279-T1, GBNWO_009012-T1
OG0000060	GBNTN_002057-T1, GBNTN_005752-T1, GBNTN_005827-T1, GBNTN_008345-T1	GBNWO_001594-T1, GBNWO_004763-T1, GBNWO_006651-T1, GBNWO_008498-T1
OG0000061	GBNTN_002252-T1, GBNTN_003246-T1, GBNTN_005850-T1, GBNTN_006427-T1, GBNTN_006917-T1	GBNWO_000147-T1, GBNWO_001047-T1, GBNWO_002909-T1
