	Gilbertella_persicariavar.indica_CBS_442.64-.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0000793	GBNTN_005114-T1, GBNTN_008332-T1	GBNWO_004196-T1, GBNWO_005660-T1
OG0000794	GBNTN_005115-T1, GBNTN_009655-T1	GBNWO_005498-T1, GBNWO_005659-T1
OG0000795	GBNTN_005122-T1, GBNTN_006029-T1	GBNWO_002081-T1, GBNWO_008673-T1
OG0000796	GBNTN_005134-T1, GBNTN_007761-T1	GBNWO_005982-T1, GBNWO_006879-T1
OG0000797	GBNTN_005171-T1, GBNTN_008560-T1	GBNWO_005975-T1, GBNWO_008425-T1
OG0000798	GBNTN_005245-T1, GBNTN_006637-T1	GBNWO_001276-T1, GBNWO_005302-T1
OG0000799	GBNTN_005300-T1, GBNTN_005996-T1	GBNWO_002128-T1, GBNWO_006632-T1
OG0000800	GBNTN_005303-T1, GBNTN_009901-T1	GBNWO_004385-T1, GBNWO_006635-T1
OG0000801	GBNTN_005348-T1, GBNTN_006139-T1	GBNWO_003394-T1, GBNWO_009269-T1
OG0000802	GBNTN_005357-T1, GBNTN_008549-T1	GBNWO_007087-T1, GBNWO_007217-T1
OG0000803	GBNTN_005367-T1, GBNTN_006438-T1	GBNWO_006265-T1, GBNWO_009111-T1
OG0000804	GBNTN_005398-T1, GBNTN_007588-T1	GBNWO_004416-T1, GBNWO_005038-T1
OG0000805	GBNTN_005401-T1, GBNTN_009698-T1	GBNWO_005041-T1, GBNWO_006653-T1
OG0000806	GBNTN_005404-T1, GBNTN_007713-T1	GBNWO_003773-T1, GBNWO_005044-T1
OG0000807	GBNTN_005414-T1, GBNTN_008300-T1	GBNWO_006590-T1, GBNWO_007148-T1
OG0000808	GBNTN_005422-T1, GBNTN_009729-T1	GBNWO_001731-T1, GBNWO_002793-T1
OG0000809	GBNTN_005423-T1, GBNTN_009728-T1	GBNWO_001730-T1, GBNWO_002794-T1
OG0000810	GBNTN_005428-T1, GBNTN_006996-T1	GBNWO_003154-T1, GBNWO_008899-T1
OG0000811	GBNTN_005439-T1, GBNTN_006333-T1	GBNWO_008494-T1, GBNWO_008495-T1
OG0000812	GBNTN_005482-T1, GBNTN_005627-T1	GBNWO_005460-T1, GBNWO_008489-T1
OG0000813	GBNTN_005483-T1, GBNTN_006656-T1	GBNWO_005461-T1, GBNWO_009538-T1
OG0000814	GBNTN_005504-T1, GBNTN_009510-T1	GBNWO_000434-T1, GBNWO_000900-T1
OG0000815	GBNTN_005518-T1, GBNTN_005784-T1	GBNWO_000300-T1, GBNWO_004789-T1
OG0000816	GBNTN_005522-T1, GBNTN_005523-T1	GBNWO_000304-T1, GBNWO_000305-T1
OG0000817	GBNTN_005533-T1, GBNTN_007915-T1	GBNWO_007448-T1, GBNWO_009306-T1
OG0000818	GBNTN_005539-T1, GBNTN_009656-T1	GBNWO_005499-T1, GBNWO_007119-T1
OG0000819	GBNTN_005560-T1, GBNTN_007616-T1	GBNWO_007109-T1, GBNWO_007641-T1
OG0000820	GBNTN_005579-T1, GBNTN_009133-T1	GBNWO_005351-T1, GBNWO_006866-T1
OG0000821	GBNTN_005581-T1, GBNTN_007877-T1	GBNWO_001139-T1, GBNWO_006869-T1
OG0000822	GBNTN_005586-T1, GBNTN_009470-T1	GBNWO_001575-T1, GBNWO_003754-T1
OG0000823	GBNTN_005588-T1, GBNTN_006309-T1	GBNWO_008522-T1, GBNWO_009287-T1
OG0000824	GBNTN_005595-T1, GBNTN_007193-T1	GBNWO_006559-T1, GBNWO_008059-T1
OG0000825	GBNTN_005600-T1, GBNTN_009843-T1	GBNWO_001560-T1, GBNWO_009640-T1
OG0000826	GBNTN_005613-T1, GBNTN_009039-T1	GBNWO_000802-T1, GBNWO_006130-T1
OG0000827	GBNTN_005638-T1, GBNTN_007019-T1	GBNWO_001859-T1, GBNWO_006523-T1
OG0000828	GBNTN_005663-T1, GBNTN_007929-T1	GBNWO_001396-T1, GBNWO_003536-T1
OG0000829	GBNTN_005686-T1, GBNTN_009010-T1	GBNWO_004159-T1, GBNWO_004856-T1
OG0000830	GBNTN_005688-T1, GBNTN_008313-T1	GBNWO_001786-T1, GBNWO_008213-T1
OG0000831	GBNTN_005733-T1, GBNTN_006398-T1	GBNWO_003354-T1, GBNWO_004667-T1
OG0000832	GBNTN_005763-T1, GBNTN_007889-T1	GBNWO_006811-T1, GBNWO_007366-T1
OG0000833	GBNTN_005783-T1, GBNTN_009208-T1	GBNWO_004450-T1, GBNWO_004791-T1
OG0000834	GBNTN_005801-T1, GBNTN_009873-T1	GBNWO_000339-T1, GBNWO_000666-T1
OG0000835	GBNTN_005839-T1, GBNTN_006522-T1	GBNWO_003875-T1, GBNWO_008999-T1
OG0000836	GBNTN_005852-T1, GBNTN_006937-T1	GBNWO_008967-T1, GBNWO_009134-T1
OG0000837	GBNTN_005894-T1, GBNTN_009744-T1	GBNWO_006948-T1, GBNWO_008885-T1
OG0000838	GBNTN_005917-T1, GBNTN_007083-T1	GBNWO_002362-T1, GBNWO_004905-T1
OG0000839	GBNTN_005924-T1, GBNTN_006678-T1	GBNWO_001112-T1, GBNWO_008660-T1
OG0000840	GBNTN_005935-T1, GBNTN_009615-T1	GBNWO_005702-T1, GBNWO_007539-T1
OG0000841	GBNTN_005949-T1, GBNTN_006652-T1	GBNWO_001334-T1, GBNWO_007785-T1
OG0000842	GBNTN_005950-T1, GBNTN_007524-T1	GBNWO_000845-T1, GBNWO_007784-T1
OG0000843	GBNTN_005959-T1, GBNTN_006655-T1	GBNWO_007553-T1, GBNWO_009537-T1
OG0000844	GBNTN_005976-T1, GBNTN_009960-T1	GBNWO_002367-T1, GBNWO_004214-T1
OG0000845	GBNTN_006028-T1, GBNTN_007656-T1	GBNWO_006054-T1, GBNWO_009221-T1
OG0000846	GBNTN_006067-T1, GBNTN_009869-T1	GBNWO_000341-T1, GBNWO_006908-T1
OG0000847	GBNTN_006151-T1, GBNTN_008395-T1	GBNWO_008802-T1, GBNWO_009199-T1
OG0000848	GBNTN_006155-T1, GBNTN_007206-T1	GBNWO_004935-T1, GBNWO_009203-T1
OG0000849	GBNTN_006158-T1, GBNTN_006817-T1	GBNWO_001900-T1, GBNWO_009207-T1
OG0000850	GBNTN_006165-T1, GBNTN_006812-T1	GBNWO_001785-T1, GBNWO_009211-T1
OG0000851	GBNTN_006184-T1, GBNTN_007014-T1	GBNWO_007975-T1, GBNWO_009487-T1
OG0000852	GBNTN_006200-T1, GBNTN_007494-T1	GBNWO_004831-T1, GBNWO_009010-T1
OG0000853	GBNTN_006205-T1, GBNTN_008441-T1	GBNWO_003808-T1, GBNWO_007761-T1
OG0000854	GBNTN_006208-T1, GBNTN_006885-T1	GBNWO_006761-T1, GBNWO_007879-T1
OG0000855	GBNTN_006216-T1, GBNTN_006674-T1	GBNWO_004941-T1, GBNWO_007204-T1
OG0000856	GBNTN_006246-T1, GBNTN_009531-T1	GBNWO_005345-T1, GBNWO_008582-T1
OG0000857	GBNTN_006273-T1	GBNWO_001064-T1, GBNWO_004216-T1, GBNWO_008698-T1
OG0000858	GBNTN_006296-T1, GBNTN_007737-T1	GBNWO_001134-T1, GBNWO_006500-T1
OG0000859	GBNTN_006322-T1, GBNTN_009492-T1	GBNWO_005172-T1, GBNWO_007275-T1
OG0000860	GBNTN_006380-T1, GBNTN_009908-T1	GBNWO_000492-T1, GBNWO_005401-T1
OG0000861	GBNTN_006386-T1, GBNTN_009912-T1	GBNWO_000486-T1, GBNWO_005395-T1
OG0000862	GBNTN_006408-T1, GBNTN_008797-T1	GBNWO_003245-T1, GBNWO_008470-T1
OG0000863	GBNTN_006426-T1, GBNTN_008873-T1	GBNWO_001180-T1, GBNWO_004583-T1
OG0000864	GBNTN_006452-T1, GBNTN_009240-T1	GBNWO_000668-T1, GBNWO_003166-T1
OG0000865	GBNTN_006464-T1, GBNTN_007043-T1	GBNWO_006542-T1, GBNWO_006758-T1
OG0000866	GBNTN_006469-T1, GBNTN_007650-T1	GBNWO_002814-T1, GBNWO_007259-T1
OG0000867	GBNTN_006475-T1, GBNTN_007762-T1	GBNWO_006880-T1, GBNWO_007690-T1
OG0000868	GBNTN_006493-T1, GBNTN_007359-T1	GBNWO_004865-T1, GBNWO_009170-T1
OG0000869	GBNTN_006525-T1, GBNTN_008259-T1	GBNWO_008996-T1, GBNWO_009393-T1
OG0000870	GBNTN_006538-T1, GBNTN_007187-T1	GBNWO_002395-T1, GBNWO_009023-T1
OG0000871	GBNTN_006559-T1, GBNTN_009830-T1	GBNWO_000831-T1, GBNWO_008036-T1
OG0000872	GBNTN_006575-T1, GBNTN_007977-T1	GBNWO_002149-T1, GBNWO_003130-T1
OG0000873	GBNTN_006576-T1, GBNTN_007986-T1	GBNWO_002148-T1, GBNWO_003122-T1
OG0000874	GBNTN_006601-T1, GBNTN_009014-T1	GBNWO_004049-T1, GBNWO_008261-T1
OG0000875	GBNTN_006602-T1, GBNTN_008862-T1	GBNWO_008262-T1, GBNWO_008638-T1
OG0000876	GBNTN_006624-T1, GBNTN_008199-T1	GBNWO_000929-T1, GBNWO_003226-T1
OG0000877	GBNTN_006666-T1	GBNWO_000854-T1, GBNWO_002569-T1, GBNWO_004259-T1
OG0000878	GBNTN_006796-T1, GBNTN_006865-T1	GBNWO_000833-T1, GBNWO_007286-T1
OG0000879	GBNTN_006835-T1, GBNTN_008934-T1	GBNWO_001552-T1, GBNWO_008716-T1
OG0000880	GBNTN_006836-T1, GBNTN_008723-T1, GBNTN_008928-T1	GBNWO_001551-T1
OG0000881	GBNTN_006879-T1, GBNTN_007516-T1	GBNWO_002158-T1, GBNWO_009296-T1
OG0000882	GBNTN_006888-T1, GBNTN_008415-T1	GBNWO_005747-T1, GBNWO_006765-T1
OG0000883	GBNTN_006897-T1, GBNTN_007551-T1	GBNWO_001448-T1, GBNWO_007985-T1
OG0000884	GBNTN_006964-T1, GBNTN_008401-T1	GBNWO_006390-T1, GBNWO_007450-T1
OG0000885	GBNTN_006965-T1, GBNTN_008402-T1	GBNWO_006389-T1, GBNWO_007451-T1
OG0000886	GBNTN_006966-T1, GBNTN_007163-T1	GBNWO_006569-T1, GBNWO_007452-T1
OG0000887	GBNTN_006988-T1, GBNTN_008694-T1	GBNWO_000308-T1, GBNWO_000312-T1
OG0000888	GBNTN_007008-T1, GBNTN_008640-T1	GBNWO_002648-T1, GBNWO_008112-T1
OG0000889	GBNTN_007047-T1	GBNWO_003041-T1, GBNWO_003173-T1, GBNWO_005596-T1
OG0000890	GBNTN_007057-T1, GBNTN_008060-T1	GBNWO_001645-T1, GBNWO_006487-T1
OG0000891	GBNTN_007064-T1, GBNTN_009783-T1	GBNWO_002661-T1, GBNWO_003264-T1
OG0000892	GBNTN_007070-T1, GBNTN_007549-T1	GBNWO_007060-T1, GBNWO_009409-T1
OG0000893	GBNTN_007087-T1, GBNTN_008600-T1	GBNWO_000202-T1, GBNWO_008194-T1
OG0000894	GBNTN_007102-T1, GBNTN_007663-T1	GBNWO_005557-T1, GBNWO_008056-T1
OG0000895	GBNTN_007150-T1, GBNTN_008272-T1	GBNWO_008357-T1, GBNWO_008729-T1
OG0000896	GBNTN_007201-T1, GBNTN_007397-T1	GBNWO_006021-T1, GBNWO_006068-T1
OG0000897	GBNTN_007261-T1, GBNTN_009321-T1	GBNWO_001891-T1, GBNWO_002012-T1
OG0000898	GBNTN_007297-T1, GBNTN_009174-T1	GBNWO_004220-T1, GBNWO_005255-T1
OG0000899	GBNTN_007300-T1, GBNTN_008918-T1	GBNWO_000098-T1, GBNWO_005252-T1
OG0000900	GBNTN_007302-T1, GBNTN_009802-T1	GBNWO_001596-T1, GBNWO_005250-T1
OG0000901	GBNTN_007304-T1, GBNTN_007642-T1	GBNWO_004875-T1, GBNWO_005247-T1
OG0000902	GBNTN_007308-T1, GBNTN_009028-T1	GBNWO_003939-T1, GBNWO_005243-T1
OG0000903	GBNTN_007311-T1, GBNTN_009465-T1	GBNWO_005357-T1, GBNWO_006533-T1
OG0000904	GBNTN_007317-T1, GBNTN_008237-T1	GBNWO_006600-T1, GBNWO_007839-T1
OG0000905	GBNTN_007336-T1, GBNTN_008270-T1	GBNWO_007848-T1, GBNWO_008355-T1
OG0000906	GBNTN_007381-T1, GBNTN_007526-T1	GBNWO_003607-T1, GBNWO_007953-T1
OG0000907	GBNTN_007396-T1, GBNTN_009296-T1	GBNWO_001833-T1, GBNWO_006020-T1
OG0000908	GBNTN_007401-T1, GBNTN_007792-T1	GBNWO_000867-T1, GBNWO_006025-T1
OG0000909	GBNTN_007410-T1, GBNTN_008727-T1	GBNWO_000561-T1, GBNWO_006800-T1
OG0000910	GBNTN_007414-T1, GBNTN_009209-T1	GBNWO_004348-T1, GBNWO_004449-T1
OG0000911	GBNTN_007532-T1, GBNTN_008287-T1	GBNWO_007958-T1, GBNWO_008963-T1
OG0000912	GBNTN_007577-T1, GBNTN_009088-T1	GBNWO_000405-T1, GBNWO_007354-T1
OG0000913	GBNTN_007601-T1, GBNTN_007784-T1	GBNWO_006704-T1, GBNWO_009605-T1
OG0000914	GBNTN_007628-T1, GBNTN_009650-T1	GBNWO_004465-T1, GBNWO_007399-T1
OG0000915	GBNTN_007651-T1, GBNTN_008636-T1	GBNWO_001465-T1, GBNWO_007260-T1
OG0000916	GBNTN_007665-T1, GBNTN_008413-T1	GBNWO_005745-T1, GBNWO_008053-T1
OG0000917	GBNTN_007675-T1, GBNTN_009697-T1	GBNWO_002742-T1, GBNWO_006654-T1
OG0000918	GBNTN_007817-T1, GBNTN_008042-T1	GBNWO_001659-T1, GBNWO_008473-T1
OG0000919	GBNTN_007818-T1, GBNTN_009432-T1	GBNWO_000055-T1, GBNWO_008474-T1
OG0000920	GBNTN_007871-T1, GBNTN_008633-T1	GBNWO_008399-T1, GBNWO_008758-T1
OG0000921	GBNTN_007876-T1, GBNTN_008508-T1	GBNWO_001140-T1, GBNWO_004546-T1
OG0000922	GBNTN_007956-T1, GBNTN_009123-T1	GBNWO_002761-T1, GBNWO_006776-T1
OG0000923	GBNTN_007984-T1, GBNTN_009055-T1	GBNWO_000002-T1, GBNWO_003124-T1
OG0000924	GBNTN_008113-T1, GBNTN_009624-T1	GBNWO_005292-T1, GBNWO_007433-T1
OG0000925	GBNTN_008120-T1, GBNTN_008186-T1	GBNWO_000953-T1, GBNWO_009359-T1
OG0000926	GBNTN_008226-T1, GBNTN_008734-T1, GBNTN_009517-T1	GBNWO_001743-T1
OG0000927	GBNTN_008291-T1, GBNTN_009298-T1	GBNWO_001831-T1, GBNWO_001941-T1
OG0000928	GBNTN_008305-T1, GBNTN_009257-T1	GBNWO_002407-T1, GBNWO_007910-T1
OG0000929	GBNTN_008466-T1, GBNTN_008983-T1	GBNWO_004352-T1, GBNWO_006117-T1
OG0000930	GBNTN_008565-T1, GBNTN_008566-T1	GBNWO_007735-T1, GBNWO_007736-T1
OG0000931	GBNTN_008575-T1, GBNTN_008966-T1	GBNWO_004982-T1, GBNWO_008324-T1
OG0000932	GBNTN_008630-T1, GBNTN_009016-T1	GBNWO_004046-T1, GBNWO_008455-T1
OG0000933	GBNTN_008635-T1, GBNTN_009064-T1	GBNWO_000608-T1, GBNWO_008401-T1
OG0000934	GBNTN_008755-T1, GBNTN_009548-T1	GBNWO_007239-T1, GBNWO_007620-T1
OG0000935	GBNTN_008859-T1, GBNTN_009332-T1	GBNWO_006530-T1, GBNWO_008341-T1
OG0000936	GBNTN_008938-T1, GBNTN_009397-T1	GBNWO_001600-T1, GBNWO_008720-T1
OG0000937	GBNTN_009022-T1, GBNTN_009271-T1, GBNTN_009351-T1	GBNWO_004468-T1
OG0000938	GBNTN_009072-T1	GBNWO_003076-T1, GBNWO_004264-T1, GBNWO_004293-T1
OG0000939	GBNTN_009084-T1, GBNTN_009350-T1	GBNWO_002049-T1, GBNWO_003656-T1
OG0000940	GBNTN_009094-T1, GBNTN_009404-T1	GBNWO_004250-T1, GBNWO_004702-T1
OG0000941	GBNTN_009137-T1	GBNWO_003691-T1, GBNWO_004355-T1, GBNWO_005122-T1
OG0000942	GBNTN_009274-T1, GBNTN_009393-T1	GBNWO_002683-T1, GBNWO_009083-T1
OG0000943	GBNTN_009357-T1, GBNTN_009532-T1	GBNWO_002397-T1, GBNWO_008555-T1
OG0000944	GBNTN_009380-T1, GBNTN_009381-T1	GBNWO_009098-T1, GBNWO_009099-T1
OG0000945	GBNTN_009459-T1, GBNTN_009794-T1	GBNWO_002698-T1, GBNWO_008904-T1
OG0000946	GBNTN_009467-T1, GBNTN_009966-T1	GBNWO_005355-T1, GBNWO_005776-T1
OG0000947	GBNTN_009486-T1, GBNTN_009516-T1	GBNWO_000287-T1, GBNWO_004118-T1
OG0000948	GBNTN_009733-T1, GBNTN_009878-T1	GBNWO_000333-T1, GBNWO_003727-T1
OG0000949	GBNTN_009924-T1, GBNTN_009925-T1	GBNWO_000212-T1, GBNWO_005309-T1
OG0000950		GBNWO_001789-T1, GBNWO_003205-T1, GBNWO_004632-T1, GBNWO_007445-T1
OG0000951	GBNTN_000024-T1, GBNTN_009436-T1	GBNWO_009036-T1
OG0000952	GBNTN_000049-T1, GBNTN_007941-T1	GBNWO_003567-T1
OG0000953	GBNTN_000091-T1, GBNTN_009164-T1	GBNWO_002103-T1
OG0000954	GBNTN_000161-T1, GBNTN_002327-T1	GBNWO_008468-T1
OG0000955	GBNTN_000163-T1, GBNTN_008692-T1	GBNWO_006309-T1
OG0000956	GBNTN_000200-T1, GBNTN_000623-T1	GBNWO_000895-T1
OG0000957	GBNTN_000302-T1, GBNTN_003348-T1	GBNWO_008977-T1
OG0000958	GBNTN_000339-T1, GBNTN_009762-T1	GBNWO_004034-T1
OG0000959	GBNTN_000360-T1	GBNWO_000036-T1, GBNWO_002658-T1
OG0000960	GBNTN_000371-T1, GBNTN_001885-T1	GBNWO_006246-T1
OG0000961	GBNTN_000400-T1, GBNTN_004822-T1	GBNWO_005986-T1
OG0000962	GBNTN_000417-T1, GBNTN_007291-T1	GBNWO_002958-T1
OG0000963	GBNTN_000531-T1, GBNTN_007186-T1	GBNWO_006429-T1
OG0000964	GBNTN_000533-T1, GBNTN_004144-T1	GBNWO_000482-T1
OG0000965	GBNTN_000714-T1, GBNTN_002743-T1	GBNWO_004568-T1
OG0000966	GBNTN_000722-T1, GBNTN_004610-T1	GBNWO_001443-T1
OG0000967	GBNTN_000759-T1	GBNWO_000367-T1, GBNWO_009224-T1
OG0000968	GBNTN_000828-T1, GBNTN_001409-T1	GBNWO_004930-T1
OG0000969	GBNTN_000850-T1, GBNTN_004295-T1	GBNWO_006346-T1
OG0000970	GBNTN_000865-T1, GBNTN_007002-T1	GBNWO_007611-T1
OG0000971	GBNTN_000880-T1	GBNWO_000022-T1, GBNWO_000924-T1
OG0000972	GBNTN_000922-T1, GBNTN_009890-T1	GBNWO_003089-T1
OG0000973	GBNTN_000978-T1	GBNWO_001602-T1, GBNWO_006661-T1
OG0000974	GBNTN_001020-T1	GBNWO_001156-T1, GBNWO_004074-T1
OG0000975	GBNTN_001031-T1	GBNWO_000735-T1, GBNWO_008011-T1
OG0000976	GBNTN_001033-T1, GBNTN_001801-T1	GBNWO_004152-T1
OG0000977	GBNTN_001118-T1, GBNTN_002077-T1	GBNWO_001882-T1
OG0000978	GBNTN_001149-T1, GBNTN_002552-T1	GBNWO_004272-T1
OG0000979	GBNTN_001174-T1	GBNWO_001468-T1, GBNWO_009321-T1
OG0000980	GBNTN_001301-T1	GBNWO_000517-T1, GBNWO_008384-T1
OG0000981	GBNTN_001316-T1, GBNTN_001607-T1	GBNWO_007716-T1
OG0000982	GBNTN_001342-T1, GBNTN_006248-T1	GBNWO_002735-T1
OG0000983	GBNTN_001361-T1, GBNTN_006882-T1	GBNWO_002678-T1
OG0000984	GBNTN_001386-T1	GBNWO_005797-T1, GBNWO_007922-T1
OG0000985	GBNTN_001388-T1	GBNWO_002225-T1, GBNWO_006602-T1
OG0000986	GBNTN_001402-T1, GBNTN_009858-T1	GBNWO_009353-T1
OG0000987	GBNTN_001535-T1, GBNTN_003442-T1	GBNWO_001522-T1
OG0000988	GBNTN_001567-T1, GBNTN_009746-T1	GBNWO_002277-T1
OG0000989	GBNTN_001639-T1, GBNTN_006930-T1	GBNWO_002512-T1
OG0000990	GBNTN_001642-T1, GBNTN_001643-T1	GBNWO_008794-T1
OG0000991	GBNTN_001665-T1	GBNWO_004925-T1, GBNWO_007560-T1
OG0000992	GBNTN_001677-T1, GBNTN_003274-T1	GBNWO_000504-T1
OG0000993	GBNTN_001747-T1, GBNTN_002346-T1	GBNWO_002102-T1
OG0000994	GBNTN_001778-T1, GBNTN_002264-T1	GBNWO_009522-T1
OG0000995	GBNTN_001837-T1	GBNWO_000091-T1, GBNWO_001936-T1
OG0000996	GBNTN_001867-T1, GBNTN_003055-T1	GBNWO_001291-T1
OG0000997	GBNTN_001908-T1, GBNTN_002103-T1	GBNWO_004887-T1
OG0000998	GBNTN_001979-T1, GBNTN_009472-T1	GBNWO_000006-T1
OG0000999	GBNTN_001994-T1	GBNWO_002038-T1, GBNWO_003800-T1
OG0001000	GBNTN_002018-T1	GBNWO_001853-T1, GBNWO_008023-T1
OG0001001	GBNTN_002100-T1, GBNTN_005604-T1	GBNWO_002455-T1
OG0001002	GBNTN_002112-T1, GBNTN_002463-T1	GBNWO_007069-T1
OG0001003	GBNTN_002119-T1, GBNTN_007432-T1	GBNWO_008201-T1
OG0001004	GBNTN_002242-T1, GBNTN_003860-T1	GBNWO_007883-T1
OG0001005	GBNTN_002274-T1, GBNTN_008432-T1	GBNWO_009442-T1
OG0001006	GBNTN_002298-T1, GBNTN_006203-T1	GBNWO_004808-T1
OG0001007	GBNTN_002312-T1, GBNTN_006738-T1	GBNWO_006671-T1
OG0001008	GBNTN_002460-T1	GBNWO_002728-T1, GBNWO_006642-T1
OG0001009	GBNTN_002555-T1, GBNTN_005964-T1	GBNWO_006078-T1
OG0001010	GBNTN_002565-T1	GBNWO_007972-T1, GBNWO_008708-T1
OG0001011	GBNTN_002591-T1, GBNTN_004506-T1	GBNWO_003663-T1
OG0001012	GBNTN_002592-T1, GBNTN_004507-T1	GBNWO_008325-T1
OG0001013	GBNTN_002596-T1, GBNTN_002666-T1	GBNWO_006161-T1
OG0001014	GBNTN_002598-T1, GBNTN_002664-T1	GBNWO_006163-T1
OG0001015	GBNTN_002599-T1, GBNTN_002663-T1	GBNWO_006164-T1
OG0001016	GBNTN_002600-T1, GBNTN_002662-T1	GBNWO_006165-T1
OG0001017	GBNTN_002601-T1, GBNTN_002661-T1	GBNWO_006166-T1
OG0001018	GBNTN_002602-T1, GBNTN_002660-T1	GBNWO_006167-T1
OG0001019	GBNTN_002603-T1, GBNTN_002659-T1	GBNWO_006168-T1
OG0001020	GBNTN_002605-T1, GBNTN_002657-T1	GBNWO_006171-T1
OG0001021	GBNTN_002606-T1, GBNTN_002656-T1	GBNWO_006172-T1
OG0001022	GBNTN_002607-T1, GBNTN_002655-T1	GBNWO_006173-T1
OG0001023	GBNTN_002609-T1, GBNTN_002653-T1	GBNWO_006175-T1
OG0001024	GBNTN_002610-T1, GBNTN_002651-T1	GBNWO_005220-T1
OG0001025	GBNTN_002611-T1, GBNTN_002650-T1	GBNWO_005221-T1
OG0001026	GBNTN_002612-T1, GBNTN_002648-T1	GBNWO_005222-T1
OG0001027	GBNTN_002613-T1, GBNTN_002647-T1	GBNWO_005223-T1
OG0001028	GBNTN_002615-T1, GBNTN_002643-T1	GBNWO_005227-T1
OG0001029	GBNTN_002616-T1, GBNTN_002642-T1	GBNWO_005228-T1
OG0001030	GBNTN_002617-T1, GBNTN_002641-T1	GBNWO_005229-T1
OG0001031	GBNTN_002619-T1, GBNTN_002639-T1	GBNWO_005231-T1
OG0001032	GBNTN_002620-T1, GBNTN_002638-T1	GBNWO_005232-T1
OG0001033	GBNTN_002623-T1, GBNTN_002635-T1	GBNWO_005234-T1
OG0001034	GBNTN_002624-T1, GBNTN_002634-T1	GBNWO_005235-T1
OG0001035	GBNTN_002625-T1, GBNTN_002633-T1	GBNWO_005236-T1
OG0001036	GBNTN_002626-T1, GBNTN_002632-T1	GBNWO_005237-T1
OG0001037	GBNTN_002628-T1, GBNTN_002630-T1	GBNWO_005238-T1
OG0001038	GBNTN_002708-T1, GBNTN_009515-T1	GBNWO_001087-T1
OG0001039	GBNTN_002730-T1, GBNTN_006256-T1	GBNWO_004758-T1
OG0001040	GBNTN_002789-T1, GBNTN_005511-T1	GBNWO_006725-T1
OG0001041	GBNTN_002857-T1	GBNWO_002805-T1, GBNWO_008460-T1
OG0001042	GBNTN_002959-T1, GBNTN_005849-T1	GBNWO_002492-T1
OG0001043	GBNTN_003002-T1, GBNTN_004433-T1	GBNWO_005385-T1
OG0001044	GBNTN_003117-T1, GBNTN_007585-T1	GBNWO_005073-T1
OG0001045	GBNTN_003132-T1, GBNTN_006085-T1	GBNWO_004919-T1
OG0001046	GBNTN_003147-T1, GBNTN_007471-T1	GBNWO_002527-T1
OG0001047	GBNTN_003273-T1, GBNTN_009958-T1	GBNWO_003305-T1
OG0001048	GBNTN_003359-T1	GBNWO_008602-T1, GBNWO_009469-T1
OG0001049	GBNTN_003395-T1, GBNTN_006869-T1	GBNWO_001635-T1
OG0001050	GBNTN_003441-T1, GBNTN_006992-T1	GBNWO_003437-T1
OG0001051	GBNTN_003446-T1	GBNWO_002650-T1, GBNWO_004179-T1
OG0001052	GBNTN_003628-T1, GBNTN_004450-T1	GBNWO_006896-T1
OG0001053	GBNTN_003665-T1, GBNTN_008126-T1	GBNWO_008148-T1
OG0001054	GBNTN_003669-T1, GBNTN_007319-T1	GBNWO_007841-T1
OG0001055	GBNTN_003842-T1, GBNTN_005673-T1	GBNWO_006603-T1
OG0001056	GBNTN_003848-T1	GBNWO_005186-T1, GBNWO_008916-T1
OG0001057	GBNTN_003935-T1	GBNWO_002050-T1, GBNWO_004819-T1
OG0001058	GBNTN_003985-T1, GBNTN_008296-T1	GBNWO_000084-T1
OG0001059	GBNTN_003997-T1	GBNWO_002418-T1, GBNWO_005523-T1
OG0001060	GBNTN_004002-T1, GBNTN_009277-T1	GBNWO_000859-T1
OG0001061	GBNTN_004006-T1, GBNTN_008620-T1	GBNWO_007011-T1
OG0001062	GBNTN_004048-T1	GBNWO_009275-T1, GBNWO_009372-T1
OG0001063	GBNTN_004068-T1, GBNTN_008099-T1	GBNWO_000453-T1
OG0001064	GBNTN_004163-T1	GBNWO_003554-T1, GBNWO_003786-T1
OG0001065	GBNTN_004185-T1	GBNWO_002764-T1, GBNWO_006495-T1
OG0001066	GBNTN_004268-T1, GBNTN_006213-T1	GBNWO_008179-T1
OG0001067	GBNTN_004276-T1, GBNTN_007332-T1	GBNWO_007326-T1
OG0001068	GBNTN_004395-T1, GBNTN_006012-T1	GBNWO_005211-T1
OG0001069	GBNTN_004477-T1	GBNWO_001181-T1, GBNWO_007295-T1
OG0001070	GBNTN_004493-T1	GBNWO_002560-T1, GBNWO_008295-T1
OG0001071	GBNTN_004614-T1, GBNTN_009107-T1	GBNWO_003579-T1
OG0001072	GBNTN_004640-T1, GBNTN_006364-T1	GBNWO_008328-T1
OG0001073	GBNTN_004669-T1, GBNTN_008482-T1	GBNWO_002108-T1
OG0001074	GBNTN_004676-T1, GBNTN_007789-T1	GBNWO_002114-T1
OG0001075	GBNTN_004741-T1, GBNTN_008535-T1	GBNWO_004771-T1
OG0001076	GBNTN_004823-T1, GBNTN_007259-T1	GBNWO_004212-T1
OG0001077	GBNTN_004908-T1	GBNWO_000843-T1, GBNWO_004379-T1
OG0001078	GBNTN_004999-T1	GBNWO_003295-T1, GBNWO_004284-T1
