	Gilbertella_persicariavar.indica_CBS_442.64-.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
Gilbertella_persicariavar.indica_CBS_442.64-.aa	6906	6903
Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa	6903	6907
