	Ellisomyces_anomalus_NRRL_2465_Plus-T.aa	Ellisomyces_anomalus_RSA_581-.aa
Ellisomyces_anomalus_NRRL_2465_Plus-T.aa	9373	9369
Ellisomyces_anomalus_RSA_581-.aa	9369	9372
