Number of genes	22515
Number of genes in orthogroups	20833
Number of unassigned genes	1682
Percentage of genes in orthogroups	92.5
Percentage of unassigned genes	7.5
Number of orthogroups	8820
Number of species-specific orthogroups	2
Number of genes in species-specific orthogroups	11
Percentage of genes in species-specific orthogroups	0.0
Mean orthogroup size	2.4
Median orthogroup size	2.0
G50 (assigned genes)	2
G50 (all genes)	2
O50 (assigned genes)	3612
O50 (all genes)	4033
Number of orthogroups with all species present	8818
Number of single-copy orthogroups	7594
Date	2019-01-20
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Per-species statistics	Statistics_PerSpecies.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	0	0.0	0	0.0
'1	7748	87.8	15650	75.1
'2	829	9.4	3406	16.3
'3	160	1.8	988	4.7
'4	51	0.6	415	2.0
'5	18	0.2	185	0.9
'6	10	0.1	122	0.6
'7	1	0.0	14	0.1
'8	2	0.0	33	0.2
'9	0	0.0	0	0.0
'10	1	0.0	20	0.1
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	2
2	8818
