	Thamnostylum_lucknowense_RSA_1015_Plus-T.aa	Thamnostylum_lucknowense_RSA_1093-.aa
Thamnostylum_lucknowense_RSA_1015_Plus-T.aa	8815	8810
Thamnostylum_lucknowense_RSA_1093-.aa	8810	8815
