	Gilbertella_persicariavar.persicaria_CBS_190.32-T.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
Gilbertella_persicariavar.persicaria_CBS_190.32-T.aa	7059	7056
Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa	7056	7059
