	Backusella_lamprospora_NRRL_1401.aa	Backusella_lamprospora_NRRL_6044_Plus.aa
Backusella_lamprospora_NRRL_1401.aa	10311	10304
Backusella_lamprospora_NRRL_6044_Plus.aa	10304	10310
